#{"t_start": 1784477804.0824566, "env_id": "None"}
r,l,t
-7.8,60,87.970321
8.4,17,88.026831
-6.0,60,88.223365
-6.0,60,88.4259
-6.0,60,88.921486
-6.0,60,89.121521
9.4,7,89.147525
-6.9,60,89.326056
-8.7,60,89.503087
-6.0,60,89.993672
-6.9,60,90.187207
-6.0,60,90.373739
-9.6,60,90.565772
-6.0,60,90.755305
7.8,23,91.134871
-6.9,60,91.323403
-9.6,60,91.516437
-6.9,60,91.700968
-9.6,60,92.184052
8.5,16,92.235062
-8.7,60,92.430096
-6.0,60,92.622629
-6.0,60,92.804661
-9.6,60,93.294246
-6.9,60,93.489779
-6.0,60,93.66881
-8.7,60,93.844341
-6.9,60,94.034373
-10.5,60,94.524459
-8.7,60,94.69999
-8.7,60,94.875019
-6.0,60,95.05055
-6.0,60,95.564639
-6.0,60,95.739169
3.8,54,95.890696
-6.9,60,96.061225
-6.9,60,96.557312
-6.0,60,96.730342
-6.0,60,96.900871
-9.6,60,97.074401
-10.5,60,97.259433
-13.2,60,97.744518
3.3,59,97.911047
7.5,26,97.985559
-9.6,60,98.159089
-7.8,60,98.636172
8.9,12,98.674179
-11.4,60,98.842708
-8.7,60,99.012737
-6.0,60,99.183267
-9.6,60,99.351796
-6.9,60,99.83088
-7.8,60,100.00591
-6.0,60,100.184441
-6.0,60,100.357971
-6.9,60,100.830553
-6.0,60,101.004583
-6.0,60,101.179613
-6.0,60,101.358645
-6.0,60,101.825726
-6.0,60,102.000256
-7.8,60,102.169785
-6.9,60,102.338814
-6.9,60,102.808396
-6.0,60,102.982927
-6.9,60,103.151956
-6.0,60,103.324986
-6.9,60,103.526021
-6.0,60,104.011105
-6.9,60,104.183135
-6.0,60,104.355665
-7.8,60,104.541697
10.0,1,104.546697
-6.0,60,105.033283
-6.0,60,105.213314
-6.0,60,105.408848
-6.9,60,105.620885
-6.0,60,106.138474
8.1,20,106.203485
-6.0,60,106.381016
-7.8,60,106.583551
9.6,5,106.603055
8.3,18,106.656564
-6.0,60,106.844597
-6.0,60,107.348184
7.5,26,107.431698
-6.0,60,107.620231
-6.0,60,107.822767
-6.0,60,108.298849
9.7,4,108.316352
-6.0,60,108.496883
-6.0,60,108.679915
-6.0,60,108.88445
-6.0,60,109.076484
-6.0,60,109.566569
-6.0,60,109.768104
-6.0,60,109.951636
-6.9,60,110.14267
-6.0,60,110.637756
-6.0,60,110.827287
-6.0,60,111.021322
9.5,6,111.042326
-6.0,60,111.228359
-6.0,60,111.724945
8.7,14,111.773953
-6.0,60,111.949483
-6.0,60,112.154518
-6.9,60,112.343052
-6.9,60,112.826135
